name,price,info
"არაყი Absolute, ველური კენკრა - 1L","54,90 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკრა გემოკენკრა, დაბალანსებული ალკ. შემცველობა38% მოცულობა1"
"არაყი ""სუფთა"" ლიმონის - 0.5L","25,00 ₾","ბრენდისუფთა წარმოშობასაქართველო ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატილიმონი, ციტრუსი გემოლიმონი ალკ. შემცველობა36% მოცულობა0.5"
"არაყი ""სუფთა"" ლიმონის - 0.5L","25,00 ₾","ბრენდისუფთა წარმოშობასაქართველო ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატილიმონი, ციტრუსი გემოლიმონი ალკ. შემცველობა36% მოცულობა0.5"
არაყი Absolut Blue - 0.7L,"42,50 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემოდელიკატური, მარცვლეული, სხვადასხვა ჩირი ალკ. შემცველობა40% მოცულობა0.7"
არაყი Absolut Blue - 0.7L,"42,50 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემოდელიკატური, მარცვლეული, სხვადასხვა ჩირი ალკ. შემცველობა40% მოცულობა0.7"
არაყი Distil N9 - 1L,"49,90 ₾","ბრენდიDistil N9 წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატირბილი გემორბილი, კარგად დაბალანსებული ალკ. შემცველობა40% მოცულობა1"
არაყი Distil N9 - 1L,"49,90 ₾","ბრენდიDistil N9 წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატირბილი გემორბილი, კარგად დაბალანსებული ალკ. შემცველობა40% მოცულობა1"
"Danzka, გრეიფრუტის არაყი - 1L","42,90 ₾","ბრენდიDanzka წარმოშობადანია ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიგრეიპფრუტი გემოციტრუსი, გრეიპფრუტი ალკ. შემცველობა40% მოცულობა1"
"Danzka, გრეიფრუტის არაყი - 1L","42,90 ₾","ბრენდიDanzka წარმოშობადანია ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიგრეიპფრუტი გემოციტრუსი, გრეიპფრუტი ალკ. შემცველობა40% მოცულობა1"
არაყი Parlament - 0.5L,"19,70 ₾","ბრენდიParlament წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატითეთრი წიწაკა, პური ალკ. შემცველობა40% მოცულობა0.5"
არაყი Parlament - 0.5L,"19,70 ₾","ბრენდიParlament წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატითეთრი წიწაკა, პური ალკ. შემცველობა40% მოცულობა0.5"
არაყი Talka - 1L,"28,20 ₾",ბრენდიTalka წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიინტენსიური გემოციმბირული სხვადასხვა მცენარე ალკ. შემცველობა40% მოცულობა1
არაყი Talka - 1L,"28,20 ₾",ბრენდიTalka წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიინტენსიური გემოციმბირული სხვადასხვა მცენარე ალკ. შემცველობა40% მოცულობა1
"Finlandia, მოცვის არაყი - 1L","49,90 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკროვანი ხილი გემოშტოში,ვანილი, ჯანჯაფილი ალკ. შემცველობა37.5% მოცულობა1"
"Finlandia, მოცვის არაყი - 1L","49,90 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკროვანი ხილი გემოშტოში,ვანილი, ჯანჯაფილი ალკ. შემცველობა37.5% მოცულობა1"
არაყი Parlament - 1L,"34,90 ₾","ბრენდიParlament წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატითეთრი წიწაკა, პური გემოთეთრი და შავი წიწაკა ალკ. შემცველობა40% მოცულობა1"
არაყი Parlament - 1L,"34,90 ₾","ბრენდიParlament წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატითეთრი წიწაკა, პური გემოთეთრი და შავი წიწაკა ალკ. შემცველობა40% მოცულობა1"
არაყი Staritsky & Levitsky Private Cellar - 0.75L,"199,90 ₾","ბრენდიStaritsky & Levitsky წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატინაღები,რბილი გემოპიტნა, აბზინდა, დაბალანსებული ალკ. შემცველობა40% მოცულობა0.75"
